geneID	LogFC_April	adj.P.Val
CFP56_23532	-0.475812425	0.01
CFP56_24732	-0.51108911	0.01
CFP56_18234	-0.829544248	0.01
CFP56_15101	-0.6120875	0.01
CFP56_24670	-0.690983096	0.01
CFP56_55251	-0.756063486	0.01
CFP56_33269	-0.850607649	0.01
CFP56_66906	-1.150312053	0.01
CFP56_54330	-0.611547247	0.01
CFP56_45004	-0.470465934	0.01
CFP56_45155	-0.785053571	0.01
CFP56_23309	-1.038620073	0.01
CFP56_71489	-0.725179125	0.01
CFP56_04669	-0.790051509	0.01
CFP56_12753	-1.095272941	0.01
CFP56_67904	-0.745468803	0.01
CFP56_45508	-0.552008937	0.01
CFP56_18927	-0.595612881	0.01
CFP56_55510	0.544454965	0.01
CFP56_40559	-0.736592404	0.01
CFP56_24851	-0.753186813	0.01
CFP56_46579	-0.735099748	0.01
CFP56_15457	-0.586525766	0.01
CFP56_04887	-0.730625999	0.01
CFP56_04895	-0.881933926	0.01
CFP56_39226	-0.39550385	0.01
CFP56_37705	-0.672595771	0.01
CFP56_57155	-0.801406388	0.01
CFP56_18450	-0.761762592	0.01
CFP56_15516	-0.55861215	0.01
CFP56_43625	-0.619083153	0.01
CFP56_63844	-0.632174667	0.01
CFP56_04792	-0.465709829	0.01
CFP56_33180	-0.67396755	0.01
CFP56_68056	-1.062570569	0.01
CFP56_46583	-0.485396966	0.01
CFP56_45262	-0.829882384	0.01
CFP56_79658	-0.741624213	0.01
CFP56_66372	-0.725290776	0.01
CFP56_60036	-0.731490332	0.01
CFP56_49077	-0.945848724	0.01
CFP56_45261	-0.748367163	0.01
CFP56_66243	-0.741360585	0.01
CFP56_60021	-0.702243594	0.01
CFP56_35975	-0.705472435	0.01
CFP56_73035	-0.701622634	0.01
CFP56_44070	-0.637484089	0.01
CFP56_65351	-0.675361023	0.01
CFP56_34398	-0.739593356	0.01
CFP56_48596	-0.782031637	0.01
CFP56_46162	-0.847354107	0.01
CFP56_41634	-0.095624279	0.01
CFP56_15393	0.416882375	0.01
CFP56_05273	-0.642067434	0.01
CFP56_35174	-0.621856966	0.01
CFP56_47378	-0.64188777	0.01
CFP56_61898	-0.465509266	0.01
CFP56_23543	-0.830563677	0.01
CFP56_50627	-0.590148276	0.01
CFP56_38566	-0.536243927	0.01
CFP56_26612	-0.686381423	0.01
CFP56_42284	-0.798137935	0.01
CFP56_19124	-0.693852597	0.01
CFP56_51584	-0.749539498	0.01
CFP56_61563	-0.735517438	0.01
CFP56_17691	-1.105654674	0.01
CFP56_36906	-0.593434135	0.01
CFP56_24943	-0.641443378	0.01
CFP56_07147	-0.726735813	0.01
