geneID	LogFC_July	adj.P.Val
CFP56_23532	1.149060372	0.01
CFP56_24732	1.152255735	0.01
CFP56_18234	1.110395769	0.01
CFP56_15101	1.153989308	0.01
CFP56_24670	1.146682393	0.01
CFP56_55251	1.133859768	0.01
CFP56_33269	1.101580373	0.01
CFP56_66906	0.488054732	0.01
CFP56_54330	1.154011487	0.01
CFP56_45004	1.148466975	0.01
CFP56_45155	1.125853567	0.01
CFP56_23309	0.956289737	0.01
CFP56_71489	1.1407839	0.01
CFP56_04669	1.124315793	0.01
CFP56_12753	0.864311206	0.01
CFP56_67904	1.136414438	0.01
CFP56_45508	1.154335044	0.01
CFP56_18927	1.154505905	0.01
CFP56_55510	0.609632253	0.01
CFP56_40559	1.138409001	0.01
CFP56_24851	1.134572442	0.01
CFP56_46579	1.13873161	0.01
CFP56_15457	1.154651671	0.01
CFP56_04887	1.139676762	0.01
CFP56_04895	1.086446949	0.01
CFP56_39226	1.137263781	0.01
CFP56_37705	1.149139319	0.01
CFP56_57155	1.120641282	0.01
CFP56_18450	1.132405291	0.01
CFP56_15516	1.154499967	0.01
CFP56_43625	1.153669551	0.01
CFP56_63844	1.152906545	0.01
CFP56_04792	1.147915441	0.01
CFP56_33180	1.148972572	0.01
CFP56_68056	0.922703015	0.01
CFP56_46583	1.150053066	0.01
CFP56_45262	1.110262285	0.01
CFP56_79658	1.137294425	0.01
CFP56_66372	1.140761682	0.01
CFP56_60036	1.13949669	0.01
CFP56_49077	1.046533674	0.01
CFP56_45261	1.135734592	0.01
CFP56_66243	1.137353862	0.01
CFP56_60021	1.144935661	0.01
CFP56_35975	1.144399961	0.01
CFP56_73035	1.145036889	0.01
CFP56_44070	1.152534901	0.01
CFP56_65351	1.148800488	0.01
CFP56_34398	1.137749314	0.01
CFP56_48596	1.126760264	0.01
CFP56_46162	1.103010008	0.01
CFP56_41634	1.044377239	0.01
CFP56_15393	0.724112732	0.01
CFP56_05273	1.152184761	0.01
CFP56_35174	1.153525917	0.01
CFP56_47378	1.152199001	0.01
CFP56_61898	1.147891695	0.01
CFP56_23543	1.109992558	0.01
CFP56_50627	1.154605266	0.01
CFP56_38566	1.153747075	0.01
CFP56_26612	1.147342691	0.01
CFP56_42284	1.121725094	0.01
CFP56_19124	1.146255036	0.01
CFP56_51584	1.135455562	0.01
CFP56_61563	1.138641702	0.01
CFP56_17691	0.841177482	0.01
CFP56_36906	1.15454977	0.01
CFP56_24943	1.152234043	0.01
CFP56_07147	1.140472336	0.01
