geneID	June_ZScore	adj.P.Val
CFP56_23532	-0.673247947	0.01
CFP56_24732	-0.641166626	0.01
CFP56_18234	-0.280851521	0.01
CFP56_15101	-0.541901808	0.01
CFP56_24670	-0.455699298	0.01
CFP56_55251	-0.377796283	0.01
CFP56_33269	-0.250972724	0.01
CFP56_66906	0.662257321	0.01
CFP56_54330	-0.54246424	0.01
CFP56_45004	-0.678001041	0.01
CFP56_45155	-0.340799995	0.01
CFP56_23309	0.082330336	0.01
CFP56_71489	-0.415604775	0.01
CFP56_04669	-0.334264283	0.01
CFP56_12753	0.230961735	0.01
CFP56_67904	-0.390945635	0.01
CFP56_45508	-0.602326107	0.01
CFP56_18927	-0.558893024	0.01
CFP56_55510	-1.154087218	0.01
CFP56_40559	-0.401816596	0.01
CFP56_24851	-0.38138563	0.01
CFP56_46579	-0.403631862	0.01
CFP56_15457	-0.568125905	0.01
CFP56_04887	-0.409050763	0.01
CFP56_04895	-0.204513024	0.01
CFP56_39226	-0.741759931	0.01
CFP56_37705	-0.476543549	0.01
CFP56_57155	-0.319234894	0.01
CFP56_18450	-0.370642699	0.01
CFP56_15516	-0.595887817	0.01
CFP56_43625	-0.534586398	0.01
CFP56_63844	-0.520731878	0.01
CFP56_04792	-0.682205612	0.01
CFP56_33180	-0.475005021	0.01
CFP56_68056	0.139867554	0.01
CFP56_46583	-0.664656099	0.01
CFP56_45262	-0.280379901	0.01
CFP56_79658	-0.395670213	0.01
CFP56_66372	-0.415470906	0.01
CFP56_60036	-0.408006358	0.01
CFP56_49077	-0.10068495	0.01
CFP56_45261	-0.387367429	0.01
CFP56_66243	-0.395993278	0.01
CFP56_60021	-0.442692067	0.01
CFP56_35975	-0.438927526	0.01
CFP56_73035	-0.443414255	0.01
CFP56_44070	-0.515050812	0.01
CFP56_65351	-0.473439465	0.01
CFP56_34398	-0.398155958	0.01
CFP56_48596	-0.344728627	0.01
CFP56_46162	-0.255655901	0.01
CFP56_41634	-0.94875296	0.01
CFP56_15393	-1.140995108	0.01
CFP56_05273	-0.510117326	0.01
CFP56_35174	-0.531668951	0.01
CFP56_47378	-0.510311231	0.01
CFP56_61898	-0.682382429	0.01
CFP56_23543	-0.279428882	0.01
CFP56_50627	-0.56445699	0.01
CFP56_38566	-0.617503148	0.01
CFP56_26612	-0.460961268	0.01
CFP56_42284	-0.32358716	0.01
CFP56_19124	-0.452402438	0.01
CFP56_51584	-0.385916063	0.01
CFP56_61563	-0.403124265	0.01
CFP56_17691	0.264477192	0.01
CFP56_36906	-0.561115635	0.01
CFP56_24943	-0.510790665	0.01
CFP56_07147	-0.413736523	0.01
