geneID	logFC_3	meanTPM_3	adj.P.Val_3
CFP56_06232	0.350910699	0.216742447	0.501675118
CFP56_53768	-0.099939658	5.058936421	0.835933139
CFP56_07217	0.364492472	144.2482131	0.407092524
CFP56_54821	-0.476962278	77.07339046	0.227666542
CFP56_30318	-0.149061008	7.164935427	0.781055694
CFP56_15229	0.310115946	286.3755629	0.545077779
CFP56_48469	0.25048727	14.64439983	0.552479764
CFP56_15658	-1.528819232	13.0684152	0.003605964
CFP56_58860	0.219237386	48.3852424	0.601956189
CFP56_44792	0.172860647	57.07922677	0.769731227
CFP56_29395	0.214590901	61.39376109	0.608664128
CFP56_40634	1.597315551	0.982849784	0.005700574
CFP56_51074	0.204085288	123.2669809	0.612985144
CFP56_67438	-0.99966244	56.35271426	0.040498633
CFP56_27396	0.35426496	4.468619201	0.472662022
CFP56_06352	1.548281334	193.2204607	0.000138993
CFP56_51326	-0.042635294	0.139635737	0.93775687
CFP56_44128	1.139612712	100.1789886	0.005077433
CFP56_45093	0.182027566	240.5677705	0.623827382
CFP56_68493	-0.200408694	109.4880111	0.653120101
CFP56_59054	0.709459452	87.89495608	0.111200482
CFP56_02121	0.882288156	41.62741631	0.027874326
CFP56_74871	1.183444817	66.68377002	0.00137612
CFP56_39999	-0.217367406	38.95031882	0.686068495
CFP56_59114	0.60343148	457.5012932	0.085265848
CFP56_31139	0.584092627	42.04331575	0.278940538
CFP56_40898	1.035920849	0.584349217	0.097649475
CFP56_05594	-0.26383764	133.296623	0.502118999
CFP56_25010	0.523612068	3.49172277	0.260473335
CFP56_48419	0.74198733	2.389567798	0.129931545
CFP56_36717	0.695327725	4.935415241	0.061675392
CFP56_15978	1.231211496	25.64386829	0.043928113
CFP56_33028	0.556391535	3.131258522	0.078896507
CFP56_27891	0.225064461	9.731058943	0.665411701
CFP56_17908	0.804464257	142.1815086	0.052073704
CFP56_18185	0.2882471	291.1356848	0.58131107
CFP56_71721	0.873728244	29.02976316	0.068319761
CFP56_50604	0.141161351	16.16883091	0.679022901
CFP56_40179	1.105121838	10.02707821	4.98e-05
CFP56_05479	0.479723144	137.5502343	0.069657382
CFP56_42858	0.93859162	86.10612066	0.039014289
CFP56_16158	0.398190759	20.52357475	0.403000169
CFP56_41665	0.426922836	69.32586041	0.27574352
CFP56_23099	0.514663539	94.66358498	0.305745834
