Gene	Log2FC_July_April
CFP56_23532	1.997660911
CFP56_24732	1.376053263
CFP56_18234	2.052700342
CFP56_15101	2.543261519
CFP56_24670	1.104113831
CFP56_55251	2.290456182
CFP56_33269	3.196418188
CFP56_66906	0.757624589
CFP56_54330	0.832911524
CFP56_45004	0.792573215
CFP56_45155	2.147570434
CFP56_23309	1.318538505
CFP56_71489	1.823911518
CFP56_12753	1.482383231
CFP56_67904	2.86350272
CFP56_45508	1.044170976
CFP56_18927	1.414814734
CFP56_55510	0.125548639
CFP56_40559	2.85477841
CFP56_24851	1.794102837
CFP56_46579	2.29617856
CFP56_15457	1.498109835
CFP56_04887	3.186063012
CFP56_04895	2.853287301
CFP56_39226	0.737263001
CFP56_37705	2.506272473
CFP56_57155	2.700910208
CFP56_18450	3.034725824
CFP56_15516	2.759583194
CFP56_43625	1.840820426
CFP56_63844	1.546315985
CFP56_04792	0.261099324
CFP56_33180	1.859491917
CFP56_68056	1.343041407
CFP56_46583	1.013822908
CFP56_45262	0.747815672
CFP56_79658	2.221305747
CFP56_66372	2.176779319
CFP56_60036	0.844137737
CFP56_49077	1.716523869
CFP56_45261	2.556192461
CFP56_66243	3.303848564
CFP56_60021	1.981270783
CFP56_35975	0.993338252
CFP56_73035	2.271268704
CFP56_44070	0.596487896
CFP56_65351	2.210872951
CFP56_34398	2.688939737
CFP56_48596	2.273250975
CFP56_46162	0.587950861
CFP56_41634	0.518739201
CFP56_15393	0.304508875
CFP56_05273	2.762789589
CFP56_35174	1.355413268
CFP56_04669	2.453198924
CFP56_47378	2.67958242
CFP56_61898	1.4181971
CFP56_23543	2.050740618
CFP56_50627	1.480192502
CFP56_38566	1.028553912
CFP56_26612	1.494178555
CFP56_42284	2.212615408
CFP56_19124	0.956674674
CFP56_51584	2.499450964
CFP56_61563	2.270248485
CFP56_17691	4.412496309
CFP56_36906	1.562724484
CFP56_24943	2.651706596
CFP56_07147	2.676199745
