geneID1	geneID2	reactionType
CFP56_42858	CFP56_44792	coexpressed_with
CFP56_42858	CFP56_31139	coexpressed_with
CFP56_42858	CFP56_67438	coexpressed_with
CFP56_42858	CFP56_18185	coexpressed_with
CFP56_29395	CFP56_15229	coexpressed_with
CFP56_41665	CFP56_30318	coexpressed_with
CFP56_41665	CFP56_18185	coexpressed_with
CFP56_41665	CFP56_17908	coexpressed_with
CFP56_06352	CFP56_25010	coexpressed_with
CFP56_06352	CFP56_17908	coexpressed_with
CFP56_06352	CFP56_23099	coexpressed_with
CFP56_50604	CFP56_68493	coexpressed_with
CFP56_50604	CFP56_15658	coexpressed_with
CFP56_48419	CFP56_27891	coexpressed_with
CFP56_07217	CFP56_18185	coexpressed_with
CFP56_07217	CFP56_36717	coexpressed_with
CFP56_59114	CFP56_15229	coexpressed_with
CFP56_59114	CFP56_68493	coexpressed_with
CFP56_59114	CFP56_31139	coexpressed_with
CFP56_59114	CFP56_17908	coexpressed_with
CFP56_05479	CFP56_54821	coexpressed_with
CFP56_05479	CFP56_15229	coexpressed_with
CFP56_59054	CFP56_15229	coexpressed_with
CFP56_59114	CFP56_18185	coexpressed_with
CFP56_59054	CFP56_18185	coexpressed_with
CFP56_59054	CFP56_68493	coexpressed_with
CFP56_05479	CFP56_17908	coexpressed_with
CFP56_05479	CFP56_18185	coexpressed_with
CFP56_51074	CFP56_15229	coexpressed_with
CFP56_74871	CFP56_68493	coexpressed_with
CFP56_74871	CFP56_16158	coexpressed_with
CFP56_74871	CFP56_53768	coexpressed_with
CFP56_74871	CFP56_39999	coexpressed_with
CFP56_05594	CFP56_15658	coexpressed_with
CFP56_40179	CFP56_40634	coexpressed_with
CFP56_05594	CFP56_16158	coexpressed_with
CFP56_05594	CFP56_17908	coexpressed_with
CFP56_40179	CFP56_27396	coexpressed_with
CFP56_40179	CFP56_15978	coexpressed_with
CFP56_40179	CFP56_18185	coexpressed_with
CFP56_02121	CFP56_68493	coexpressed_with
CFP56_02121	CFP56_44792	coexpressed_with
CFP56_48469	CFP56_18185	coexpressed_with
CFP56_48469	CFP56_27891	coexpressed_with
CFP56_44128	CFP56_18185	coexpressed_with
CFP56_51326	CFP56_27891	coexpressed_with
CFP56_58860	CFP56_68493	coexpressed_with
CFP56_58860	CFP56_18185	coexpressed_with
CFP56_58860	CFP56_71721	coexpressed_with
CFP56_40898	CFP56_06232	coexpressed_with
CFP56_40898	CFP56_40634	coexpressed_with
CFP56_45093	CFP56_17908	coexpressed_with
CFP56_33028	CFP56_18185	coexpressed_with
