geneID	shortName	shortDescription	MapManBin
CFP56_06352	-	-	1.1.4.1.2_Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.component *(LHCa2)
CFP56_44128	-	-	1.1.3.1_Photosynthesis.photophosphorylation.Cytb6/f to PS-I electron carriers.plastocyanin copper-protein *(PetE)
CFP56_48419	-	-	15.5.1.1.3_RNA biosynthesis.transcriptional regulation.C2C2 transcription factor superfamily.BBX transcription factor families.class-III transcription factor
CFP56_50604	-	-	15.6.2.2_RNA biosynthesis.organelle machinery.transcriptional regulation.mTERF-type transcription factor
CFP56_59114	-	-	1.1.1.1.3_Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb5)
CFP56_17908	-	-	1.1.1.2.8_Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component *(PsbR)
CFP56_36717	-	-	21.8.1.7.3_Cell wall organisation.cutin and suberin.cuticular lipid formation.alkane-forming pathway.mid-chain alkane hydroxylase *(MAH1) | 50.1.13_Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen
CFP56_59054	-	-	1.1.4.1.4_Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.component *(LHCa4)
CFP56_06232	-	-	1.1.8.1.3.1_Photosynthesis.photophosphorylation.chlororespiration.NADH dehydrogenase-like (NDH) complex.subcomplex B.component *(PnsB1/NDF1)
CFP56_23099	-	-	"1.2.1.3.2_Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat carboxylase/oxygenase (RuBisCo) activity.RuBisCo regulation.ATP-dependent activase *(RCA)"
CFP56_27396	-	-	1.1.9.2.3_Photosynthesis.photophosphorylation.ATP synthase complex.peripheral CF1 subcomplex.subunit gamma
CFP56_05594	-	-	1.1.1.2.13_Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component *(PsbY)
CFP56_02121	-	-	1.1.1.2.11_Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component *(PsbW)
CFP56_67438	-	-	1.1.4.2.14_Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component *(PsaN)
CFP56_25010	-	-	1.1.8.1.4.1_Photosynthesis.photophosphorylation.chlororespiration.NADH dehydrogenase-like (NDH) complex.lumen subcomplex L.component *(PnsL1)
CFP56_30318	-	-	1.1.2.7_Photosynthesis.photophosphorylation.cytochrome b6/f complex.component *(PetM/VII)
CFP56_71721	-	-	1.1.4.2.11_Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component *(PsaK)
CFP56_16158	-	-	1.1.1.2.11_Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component *(PsbW)
CFP56_58860	-	-	1.1.4.2.15_Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component *(PsaO)
CFP56_51326	-	-	35.2_not assigned.not annotated
CFP56_40898	-	-	1.1.8.1.3.3_Photosynthesis.photophosphorylation.chlororespiration.NADH dehydrogenase-like (NDH) complex.subcomplex B.component *(PnsB3/NDF4)
CFP56_18185	-	-	1.1.1.1.1_Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb1/2/3)
CFP56_45093	-	-	1.1.1.2.2.2_Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic components.component *(OEC23/PsbP)
CFP56_33028	-	-	35.2_not assigned.not annotated
CFP56_40634	-	-	35.2_not assigned.not annotated
CFP56_31139	-	-	7.14.2.3_Coenzyme metabolism.heme biosynthesis.heme oxygenase activities.accessory heme-binding protein *(HBP)
CFP56_42858	-	-	1.1.4.1.3_Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.component *(LHCa3)
CFP56_44792	-	-	1.2.3.1_Photosynthesis.calvin cycle.glyceraldehyde 3-phosphate dehydrogenase (GAPDH) activity.glyceraldehyde 3-phosphate dehydrogenase *(GAPDH) | 50.1.2_Enzyme classification.EC_1 oxidoreductases.EC_1.2 oxidoreductase acting on aldehyde or oxo group of donor
CFP56_29395	-	-	1.1.4.2.6_Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component *(PsaF)
CFP56_41665	-	-	1.1.4.2.4_Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component *(PsaD)
CFP56_27891	-	-	"1.2.1.1.2_Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat carboxylase/oxygenase (RuBisCo) activity.RuBisCo heterodimer.small subunit"
CFP56_15229	-	-	1.1.1.1.1_Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb1/2/3)
CFP56_07217	-	-	1.1.4.1.1_Photosynthesis.photophosphorylation.photosystem I.LHC-I complex.component *(LHCa1)
CFP56_53768	-	-	35.2_not assigned.not annotated
CFP56_15658	-	-	9.1.6.3.2_Secondary metabolism.terpenoids.carotenoid biosynthesis.apocarotenoids.carotenoid cleavage dioxygenase *(CCD4) | 50.1.12_Enzyme classification.EC_1 oxidoreductases.EC_1.13 oxidoreductase acting on single donor with incorporation of molecular oxygen (oxygenase)
CFP56_05479	-	-	7.15.1.3.1_Coenzyme metabolism.chlorophyll metabolism.chlorophyll biosynthesis.Mg-protoporphyrin IX monomethylester cyclase complex.catalytic component *(CRD1)
CFP56_51074	-	-	1.1.4.2.7_Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component *(PsaG)
CFP56_15978	-	-	1.2.3.1_Photosynthesis.calvin cycle.glyceraldehyde 3-phosphate dehydrogenase (GAPDH) activity.glyceraldehyde 3-phosphate dehydrogenase *(GAPDH) | 50.1.2_Enzyme classification.EC_1 oxidoreductases.EC_1.2 oxidoreductase acting on aldehyde or oxo group of donor
CFP56_68493	-	-	1.1.1.1.4_Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb6)
CFP56_74871	-	-	1.1.4.2.5_Photosynthesis.photophosphorylation.photosystem I.PS-I complex.component *(PsaE)
CFP56_39999	-	-	1.1.5.1.1_Photosynthesis.photophosphorylation.linear electron flow.ferredoxin electron carrier activities.ferredoxin targeted to NADP reduction
CFP56_54821	-	-	1.1.9.1.3_Photosynthesis.photophosphorylation.ATP synthase complex.membrane CF0 subcomplex.subunit b_
CFP56_40179	-	-	35.2_not assigned.not annotated
CFP56_48469	-	-	1.1.1.1.1_Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.component *(LHCb1/2/3)
